email,birthdate,education,state,mbti,interests,purchases,experience
nascimentopedro-lucas@example.org,05/04/1991,undergraduate,DF,INTP,literature|physical education|marketing,,working
meloelisa@example.com,12/03/1981,undergraduate,SP,INTJ,music|biology,,working on field of study
sampaiocecilia@example.org,21/05/2006,incomplete,SP,ESFP,history|data science|biology,,working
otavio84@example.org,08/11/2003,incomplete,SC,ESTJ,education|architecture,,working
lsilveira@example.net,19/07/2000,graduate,AM,ENTP,public policy|mechanical engineering|architecture,,working
zcamara@example.com,18/05/1987,undergraduate,RN,ENFP,agriculture,POSCOMP,working
lorenzo30@example.com,02/09/1984,undergraduate,CE,ENFP,history|political science|physics,,researcher
yborges@example.com,26/03/2003,undergraduate,TO,ISFP,visual arts|journalism|sports science,,working on field of study
guilhermenogueira@example.com,20/07/1992,undergraduate,SP,ESTJ,civil engineering|marketing,,working
luara67@example.net,21/03/1988,graduate,SP,INTP,journalism|cloud computing,,working on field of study
fariasyasmin@example.com,09/01/1990,highschool,GO,ESFP,artificial intelligence,,researcher
diogo41@example.org,14/01/1998,highschool,DF,ISTJ,history|graphic design,,working on field of study
henriquesilva@example.org,18/09/1994,graduate,RJ,ESFJ,economics,,working
kfreitas@example.com,26/06/2000,highschool,SP,ESFP,business administration|visual arts,,unemployed
pmendonca@example.org,23/11/1982,undergraduate,RJ,ISFP,international relations|anthropology|marketing,,working
ravi71@example.com,14/11/1996,undergraduate,ES,INFP,history,,working on field of study
duarterafael@example.com,10/02/1990,graduate,SP,ESFP,chemistry|hospitality,,working on field of study
joao-gabriel74@example.com,16/12/1982,undergraduate,RJ,ISTJ,accounting|visual arts,,researcher
gpires@example.com,18/10/2001,incomplete,SP,ISTP,visual arts|physical education,,working
arthur-miguel55@example.com,11/03/1991,graduate,RJ,INTP,agriculture|tourism|history,,working
ian93@example.net,09/07/2006,incomplete,PI,ESTJ,business administration|journalism|public relations,,researcher
joao-felipesales@example.net,01/12/2000,incomplete,SP,ISTJ,nutrition|hospitality|mathematics,,unemployed
xporto@example.net,28/07/1989,undergraduate,SP,ENFP,journalism|machine learning,,working
casa-grandelara@example.org,05/01/1995,highschool,SP,ESFJ,advertising|business administration,,working
da-cruzdante@example.com,16/12/1989,undergraduate,RS,ESTP,business administration|chemistry,,working on field of study
calebefreitas@example.net,02/06/1998,highschool,MA,ISFP,nutrition|international relations|graphic design,,working
joao-guilherme55@example.org,21/06/1984,graduate,ES,INTP,mathematics,,working
cmacedo@example.org,31/10/1982,undergraduate,RJ,ESTJ,civil engineering|sports science|biology,,working
maria-ceciliada-rocha@example.net,17/12/1998,highschool,SP,ESTJ,agriculture|veterinary medicine|education,Vestibular UNICAMP,working
goncalveshenry@example.net,12/11/1991,graduate,RS,ENTJ,cloud computing,,working on field of study
lopesdaniel@example.org,08/11/2005,incomplete,RJ,ENTP,advertising,,unemployed
peixotojoaquim@example.com,24/05/1992,graduate,PI,ISFJ,advertising|machine learning,,working on field of study
kdias@example.net,25/03/1980,undergraduate,PE,ISFJ,law|artificial intelligence,,working
maria-ceciliasa@example.org,05/03/1985,undergraduate,SC,ESTP,journalism|data science|music,,working
camargomanuela@example.net,28/01/1995,undergraduate,MG,ENTJ,graphic design,,working on field of study
wmarques@example.com,04/04/1994,graduate,RJ,INTP,advertising|environmental science,,unemployed
liamcorreia@example.net,28/04/2007,incomplete,RS,ESFJ,journalism,,working
maria-julia76@example.org,09/10/2006,incomplete,BA,ENTJ,sociology|linguistics|cloud computing,,unemployed
felipe09@example.com,15/01/1991,undergraduate,SP,ISTP,business administration|artificial intelligence|veterinary medicine,,researcher
bella01@example.net,01/08/1995,graduate,CE,ESTP,mechanical engineering|data science|pharmacy,,working on field of study
benicio50@example.org,22/09/1999,graduate,SP,ESFJ,agriculture|music,,working
kpastor@example.org,17/12/1996,graduate,AC,ESFJ,anthropology|database management,,researcher
lavinianovaes@example.org,17/01/1995,graduate,SP,ISFP,sports science|political science,,researcher
dleao@example.net,10/01/1994,graduate,AP,ESTP,history|machine learning,,working
aabreu@example.com,23/12/2001,incomplete,RJ,ESTJ,education|anthropology|philosophy,,working
emanuella94@example.com,23/09/1986,undergraduate,RJ,ISTJ,sociology,,working
brunanovaes@example.net,28/02/2001,incomplete,SE,ESFJ,public relations,,unemployed
maria-florsampaio@example.net,24/02/2004,incomplete,TO,ESFJ,hospitality|database management|music,,working
ribeiroisis@example.net,25/05/1995,undergraduate,PE,ENTP,nursing|finance,,working on field of study
eloahporto@example.org,23/07/1996,graduate,SP,ENFJ,software engineering,,working on field of study
lais41@example.org,12/10/1982,undergraduate,SP,ESFP,public policy|law|physical education,,working on field of study
oliverviana@example.org,17/05/1981,highschool,CE,INFP,nutrition|advertising,ANPEC,researcher
pereiraana-sophia@example.org,20/01/1995,graduate,SP,ISFP,software engineering,,working
monteiroanthony-gabriel@example.com,13/07/2002,incomplete,GO,ENFP,artificial intelligence|mathematics,POSCOMP,unemployed
larissasiqueira@example.com,07/04/2005,incomplete,PB,ISFP,biology|machine learning|physics,,unemployed
danielferreira@example.org,19/10/1992,undergraduate,TO,ENFJ,finance|mathematics|law,,working on field of study
yviana@example.org,08/02/1986,undergraduate,PR,ESTP,international relations|business administration,,unemployed
borgesagatha@example.org,06/12/1987,graduate,RJ,ISFP,education|visual arts|dentistry,,working
da-pazleticia@example.org,31/03/2002,incomplete,RJ,INFP,law|biology|artificial intelligence,,working
arthur-gabrielcostela@example.org,05/12/1980,undergraduate,RO,ISFJ,philosophy|medicine|nursing,,working
benjamim74@example.net,10/09/2001,incomplete,ES,INFP,mechanical engineering|sociology|cybersecurity,,working
xda-cruz@example.net,13/01/1995,undergraduate,RJ,ISTJ,nursing|database management|marketing,,working on field of study
hazevedo@example.com,07/08/1989,undergraduate,SP,ENTJ,medicine|biology,,working on field of study
lucasmonteiro@example.com,26/08/1997,undergraduate,CE,ISTP,medicine|literature,,working on field of study
anna-lizabreu@example.net,13/12/1981,undergraduate,RJ,ISFP,database management,,working on field of study
ldas-neves@example.com,11/11/2004,incomplete,RJ,INTJ,dentistry|chemistry|electrical engineering,,working
davidias@example.com,29/12/1996,highschool,PE,ESTP,architecture|graphic design|business administration,,working
manuellafernandes@example.com,27/07/2002,incomplete,SP,INTJ,political science|environmental science,,working
zsiqueira@example.com,12/10/1987,undergraduate,PB,ISFJ,tourism|pharmacy,,working
vsilveira@example.net,28/12/2001,incomplete,SC,INTP,journalism|sports science,,unemployed
fariasana-livia@example.net,27/11/1980,undergraduate,SP,INTP,environmental science|nutrition|law,,unemployed
lopespedro-lucas@example.net,31/01/1982,highschool,AM,ENTP,marketing|software engineering,Vestibular FATEC,working
juliapinto@example.net,22/10/2004,incomplete,RJ,ISFP,veterinary medicine|physical education,,unemployed
andrenovaes@example.org,03/09/1993,graduate,SP,ENFP,dentistry|philosophy,,working
dnogueira@example.net,25/02/1993,graduate,PA,ESTJ,data science|advertising,,working
camaramariah@example.org,18/10/1991,highschool,PB,ESFJ,electrical engineering,,unemployed
rochaheloisa@example.net,04/12/1993,graduate,GO,INTJ,medicine|chemistry|education,ANPEC,unemployed
otto44@example.com,10/11/1990,graduate,SP,INTJ,tourism|dentistry,,working
vda-luz@example.org,10/01/1995,undergraduate,SP,ESFJ,marketing|music|electrical engineering,,researcher
diogo25@example.net,22/11/2008,incomplete,PR,ESTJ,electrical engineering|hospitality,,unemployed
theo92@example.net,24/11/2004,incomplete,AL,ENTP,medicine|software engineering,Vestibular FATEC|FUVEST,working
maria09@example.net,23/10/2008,incomplete,RS,ISFJ,database management|history|nursing,,unemployed
gomescaua@example.net,27/06/1994,graduate,SP,ENFJ,biology,,working
fernanda62@example.net,13/07/2004,incomplete,PE,ISFJ,artificial intelligence|graphic design|public policy,,working
nascimentomelissa@example.net,08/05/1989,undergraduate,RS,ISFP,dentistry,,unemployed
jade62@example.org,23/10/2004,incomplete,SP,ENTP,sociology|machine learning|biology,,unemployed
silvasophia@example.com,06/02/1990,undergraduate,RO,ESTP,cybersecurity,,working on field of study
gael-henrique02@example.org,25/03/1994,undergraduate,SC,ISTP,web development|mathematics,,working
antonella10@example.com,12/03/1990,undergraduate,SC,ISFJ,business administration|machine learning|cloud computing,,working on field of study
joao-pedroborges@example.com,31/10/1992,incomplete,RJ,ENFJ,medicine|civil engineering|anthropology,,working
teixeiramaria-fernanda@example.org,01/01/2002,incomplete,RS,ISFJ,political science|web development|machine learning,,working
carolinefonseca@example.net,07/08/2003,incomplete,CE,ISFJ,database management|marketing|physical education,,unemployed
rodriguesmariana@example.com,17/06/1984,graduate,AL,ENTP,education|nursing|civil engineering,,researcher
vinicius97@example.com,16/05/1997,graduate,RJ,ENFJ,literature,,working on field of study
rodriguesjoao-gabriel@example.net,15/07/2008,incomplete,MG,ENTP,web development,,unemployed
joanapimenta@example.org,09/01/2004,incomplete,MG,INFJ,sports science|cloud computing|business administration,ENEM|Vestibular FATEC,working
laviniarios@example.org,23/02/1988,highschool,DF,ESTP,performing arts|literature|data science,,unemployed
vabreu@example.net,28/03/1992,undergraduate,SP,ENFP,journalism,,working on field of study
joao-lucasferreira@example.net,22/07/1995,incomplete,CE,ENTP,biology|accounting|public policy,,working
cecilia36@example.org,16/07/1995,undergraduate,MG,ISFP,mathematics|mechanical engineering,,working on field of study
gustavosales@example.com,05/04/2000,undergraduate,MG,ESTJ,dentistry,,working on field of study
eloahda-rosa@example.com,21/04/2004,incomplete,SP,INTJ,electrical engineering|economics|psychology,,working
leaoaugusto@example.com,07/05/1989,undergraduate,GO,INTJ,physics|finance,,unemployed
zmelo@example.net,13/12/1980,incomplete,PR,ISFJ,biology,,unemployed
eborges@example.org,20/02/2000,highschool,BA,ESFJ,public relations|journalism|electrical engineering,,unemployed
joanada-cunha@example.com,22/07/2000,highschool,RJ,ENFP,advertising|architecture|law,FUVEST|Vestibular FATEC,working
maria-juliarezende@example.net,08/12/1988,undergraduate,CE,INFP,psychology|law|civil engineering,POSCOMP,working
britohelena@example.net,26/02/1998,highschool,CE,ISTP,cybersecurity|law,,working
raulsousa@example.net,02/09/1996,graduate,ES,ENFJ,public relations,,working
siqueirafrancisco@example.com,27/02/1987,undergraduate,PR,ISTP,philosophy|machine learning,,researcher
enzo-gabrielpinto@example.com,22/06/2004,incomplete,MG,ENTP,performing arts|political science,,working
mateusabreu@example.net,20/01/1980,undergraduate,SP,INFP,graphic design,,unemployed
alvesaurora@example.com,10/05/2000,graduate,PA,ISTJ,music|physics,,researcher
raquel31@example.org,02/11/2002,undergraduate,SP,ESTJ,software engineering,,researcher
yagogoncalves@example.com,08/09/1999,highschool,RJ,ESTP,civil engineering,POSCOMP,researcher
daniel12@example.net,20/06/1994,undergraduate,RR,ENFP,marketing|journalism|business administration,,working
julia75@example.net,31/03/1984,graduate,BA,INTJ,dentistry|machine learning,,working on field of study
stellamachado@example.net,20/01/1995,undergraduate,CE,INTJ,journalism|business administration,,working on field of study
agathamachado@example.net,07/02/2005,incomplete,RS,ENFP,philosophy|journalism,,researcher
santosmaria-eduarda@example.net,08/10/1985,highschool,PR,ENFJ,anthropology|machine learning,,working
ayla62@example.com,01/09/2004,incomplete,SP,INTJ,mathematics|database management,,working
leandromelo@example.org,11/03/2004,incomplete,AP,ISFP,marketing|data science|accounting,,unemployed
da-pazarthur-miguel@example.com,25/09/1999,graduate,SP,ESFJ,education,,working
carlos-eduardo22@example.org,09/06/1984,highschool,AM,ENTP,advertising|nutrition,,working
oda-mata@example.org,24/10/1982,incomplete,RJ,INFP,chemistry|international relations|veterinary medicine,,unemployed
rodrigonogueira@example.com,20/09/1983,undergraduate,GO,INFP,software engineering|chemistry|public policy,,working on field of study
vfonseca@example.com,27/07/1994,graduate,RJ,INTP,sports science|performing arts|sociology,,researcher
gabrielly50@example.net,08/09/2004,incomplete,SP,ESTP,sociology,,researcher
vitor-gabrielcavalcanti@example.com,12/08/2001,incomplete,SP,ESFJ,web development,,unemployed
cassianosara@example.net,28/12/1980,undergraduate,RS,INTJ,history|physical education|machine learning,,researcher
mendoncakevin@example.org,24/03/2000,highschool,CE,ISTP,veterinary medicine|performing arts,,working
carolinegomes@example.net,12/04/1994,undergraduate,GO,ISTJ,data science|veterinary medicine|graphic design,,researcher
brenda84@example.com,25/09/1990,undergraduate,SP,INTJ,journalism|medicine|music,,working
nteixeira@example.org,04/04/1996,undergraduate,SP,INFP,chemistry|sociology|graphic design,,working on field of study
melinaramos@example.net,15/08/1985,highschool,BA,ENFJ,medicine|accounting|visual arts,,unemployed
ana-lauraviana@example.com,17/08/1989,graduate,MG,ESTP,economics|tourism|psychology,,working on field of study
luiz-henriquemarques@example.net,01/03/1980,incomplete,SP,ESTJ,performing arts,,working
abreuana-vitoria@example.com,04/02/1990,undergraduate,SP,ESFJ,mechanical engineering|biology|pharmacy,,working
maria-claracosta@example.com,25/10/1995,undergraduate,SP,ENFJ,tourism|performing arts,,working
pdas-neves@example.org,07/01/1993,undergraduate,BA,ISFP,artificial intelligence|chemistry,,working on field of study
nmartins@example.org,25/07/1984,graduate,BA,INTP,physics|physical education|psychology,,working on field of study
xduarte@example.net,23/01/2004,incomplete,RS,INTP,linguistics|physical education|sociology,,working
cunhamaria-liz@example.org,29/11/2005,incomplete,AP,ENTP,marketing|artificial intelligence,,unemployed
rhavi87@example.com,30/06/1999,highschool,RJ,ENFP,finance|artificial intelligence|anthropology,,working
giovannarezende@example.org,14/09/1992,highschool,PR,INFJ,economics|mathematics|finance,,working
cardosojoao-felipe@example.net,14/02/1992,undergraduate,MG,ENFJ,journalism,,working on field of study
marinavieira@example.org,02/06/1998,undergraduate,SP,ISTP,database management|medicine|cybersecurity,POSCOMP,researcher
xaragao@example.net,18/06/1997,highschool,RJ,ESFJ,marketing,,working
qnascimento@example.net,21/04/1989,undergraduate,SP,ESFJ,physics|mathematics|business administration,,working
olivia34@example.com,26/12/1990,highschool,RJ,ESTP,nutrition|public relations|visual arts,,unemployed
fcostela@example.com,31/07/1987,undergraduate,MG,ISFP,psychology|hospitality|cloud computing,ANPEC,unemployed
da-rosaguilherme@example.com,27/12/2001,incomplete,SP,ENTJ,data science|hospitality|political science,,working
eduardo29@example.org,07/10/1998,highschool,SP,INTJ,artificial intelligence|hospitality|pharmacy,,working
mateus02@example.com,09/09/1993,undergraduate,PR,INFJ,visual arts,,working
riosluiz-gustavo@example.com,18/12/2001,incomplete,PA,ESTP,graphic design|finance,,working
da-rosajosue@example.com,01/05/1985,highschool,RJ,ESFJ,marketing,,working
zda-mota@example.com,03/05/1991,undergraduate,RJ,ESFP,visual arts,,working on field of study
isaque69@example.net,31/12/1982,undergraduate,RJ,ESFP,mathematics,,working
eporto@example.com,24/12/2001,incomplete,MA,ESTP,visual arts,,unemployed
carvalhoheloisa@example.org,15/12/1991,highschool,SP,ESTJ,tourism,,working
wda-costa@example.com,01/03/2005,incomplete,SP,ISTP,web development|international relations,,unemployed
moraesdavi-miguel@example.org,03/12/1981,undergraduate,SP,ENTJ,biology,,working on field of study
bernardovasconcelos@example.net,26/02/1986,undergraduate,MS,INTP,electrical engineering,,working on field of study
ecosta@example.org,09/11/1983,undergraduate,MG,INFP,pharmacy|graphic design,,working
ssouza@example.com,01/05/1987,graduate,PR,ENFJ,linguistics|veterinary medicine,,working
eteixeira@example.com,07/04/1983,undergraduate,SP,ISTP,advertising,,working on field of study
antonysousa@example.org,05/01/2003,incomplete,RJ,ISTP,data science,,researcher
agatha40@example.com,25/09/1980,undergraduate,RJ,ENTP,mathematics|physics|pharmacy,,working
davi-lucas43@example.com,01/07/1992,undergraduate,SP,ENTP,sociology|performing arts,,working
diogo06@example.org,02/05/1997,graduate,BA,ENFP,cloud computing|literature,,working on field of study
pereiraanna-liz@example.com,08/05/1996,highschool,SP,INTJ,machine learning|physical education|dentistry,Vestibular FATEC|FUVEST,working
hgoncalves@example.org,07/06/2000,undergraduate,SP,ISFP,electrical engineering|cloud computing,,working on field of study
agatharios@example.com,05/10/1980,undergraduate,PR,ESTJ,mechanical engineering|environmental science|sociology,ANPEC,working
lpinto@example.org,12/09/1983,undergraduate,MG,ISTP,data science,,researcher
vargasbento@example.net,05/12/1993,undergraduate,SP,INTP,veterinary medicine|artificial intelligence,,unemployed
nrios@example.net,18/06/1993,highschool,MG,ESTJ,dentistry|tourism,,unemployed
emanuel28@example.com,12/05/1994,highschool,SC,ENTJ,law|cybersecurity|electrical engineering,,unemployed
nunesisabela@example.org,31/12/1988,highschool,RS,INFJ,physics|public policy|psychology,,working
liz98@example.net,04/01/2002,incomplete,RO,ISFJ,anthropology|economics|civil engineering,,working
ppastor@example.org,07/11/1980,undergraduate,PI,INTJ,education|agriculture,,working
machadopedro-miguel@example.org,18/08/1999,graduate,SP,ISFJ,history,,working on field of study
jmendes@example.org,29/08/2001,incomplete,PE,ENTJ,finance,,working
isaque38@example.com,16/10/1996,undergraduate,AP,INFJ,law,,working on field of study
lizribeiro@example.org,02/02/2005,incomplete,SC,INFJ,advertising|political science|journalism,,working
cbrito@example.org,19/06/1981,graduate,SP,INTP,journalism,,working
souzamarina@example.net,30/09/1999,graduate,PE,INFP,business administration|public relations|biology,,researcher
eloah81@example.net,24/03/1980,undergraduate,RJ,ENTJ,international relations|machine learning|psychology,,unemployed
hpires@example.org,03/11/1990,graduate,TO,INFP,political science|international relations|artificial intelligence,,researcher
caldeirahadassa@example.net,21/10/2007,incomplete,SP,INTJ,agriculture|music|civil engineering,,unemployed
theomacedo@example.com,15/05/1983,undergraduate,SP,ENTP,public policy|accounting,POSCOMP,working
nina72@example.org,10/05/1984,graduate,SP,ENTP,database management|advertising,,working on field of study
vfogaca@example.com,26/10/2002,incomplete,MT,ESFP,linguistics,,working
dalves@example.org,15/07/1999,undergraduate,MG,INFP,anthropology|sports science|finance,,working on field of study
ecunha@example.com,08/09/2000,undergraduate,SP,ISTP,business administration|pharmacy,,working
gomesgael@example.org,17/05/1998,highschool,SC,INTJ,chemistry,,working on field of study
smartins@example.net,20/12/1988,graduate,BA,INFJ,business administration|nutrition|medicine,,working
isaque52@example.net,03/03/1996,undergraduate,SE,ISTJ,nursing|journalism,,working on field of study
isabelly51@example.net,30/05/2002,incomplete,MG,ISFP,visual arts|nursing|veterinary medicine,,unemployed
fmelo@example.org,22/12/1999,highschool,SP,INTP,philosophy|nursing|electrical engineering,,working
abreunathan@example.com,05/01/1980,highschool,MG,ENFP,artificial intelligence,Vestibular FATEC|FUVEST,working
holiveira@example.org,31/08/1985,graduate,MG,ISFP,medicine,,researcher
jmendes@example.org,14/12/2008,incomplete,PB,ISFJ,data science|civil engineering,,unemployed
noahcaldeira@example.org,02/08/2000,undergraduate,SP,ESTJ,education,,working on field of study
mcamargo@example.net,02/03/2004,incomplete,RJ,ENFJ,nursing|sports science|machine learning,,working
smartins@example.org,10/08/1988,graduate,SP,INFJ,veterinary medicine,,working on field of study
sandrade@example.com,31/05/2007,incomplete,RJ,ISFP,visual arts,,working
laismoura@example.com,05/08/1995,graduate,SC,ISTJ,public relations,,working
jpimenta@example.org,07/05/1985,undergraduate,PE,INFP,machine learning,,working
matheuscavalcante@example.org,01/06/2004,incomplete,SP,ISTJ,cybersecurity|civil engineering,,unemployed
lais45@example.com,07/09/2000,graduate,SP,ESFJ,graphic design|sociology|hospitality,,working on field of study
rauldas-neves@example.net,17/02/2006,incomplete,AL,ISTP,visual arts|music,,working
luanbrito@example.org,18/05/2002,incomplete,SP,ENFP,data science,POSCOMP,working
qmendonca@example.org,03/09/2008,incomplete,SP,INTP,machine learning|database management,,unemployed
gustavo15@example.net,02/05/2006,incomplete,CE,ENTP,philosophy|psychology|medicine,,working
mendesjose-miguel@example.com,13/06/1996,highschool,MG,ISFJ,hospitality|dentistry|education,,working
toliveira@example.org,19/12/2005,incomplete,SP,INTJ,literature|medicine,,working
albuquerquejoao-felipe@example.net,20/07/1990,graduate,MG,ISFP,mathematics|veterinary medicine|advertising,POSCOMP,working
brenoda-mota@example.com,01/11/2000,incomplete,BA,INTP,environmental science|dentistry,,unemployed
lguerra@example.net,19/04/1989,undergraduate,SP,INTJ,history|law,,researcher
carvalhotheo@example.org,06/09/1992,graduate,SC,ISTP,agriculture|nutrition,,working
manuelacirino@example.net,05/08/2007,incomplete,DF,ENTJ,physics,,working
almeidadiogo@example.org,20/10/1993,graduate,SE,ESTP,agriculture,,working
kevinsilveira@example.net,29/04/1996,highschool,RS,ISFJ,visual arts|public policy,,unemployed
acirino@example.org,22/07/1980,highschool,MG,ISFJ,philosophy|finance,,unemployed
caldeiragabriela@example.net,25/01/1982,highschool,PE,ESFJ,tourism|machine learning|psychology,,working
cardosojose-pedro@example.net,11/10/1990,undergraduate,MG,ENFP,public policy,,working
rafaelsousa@example.net,07/04/2007,incomplete,PR,ISFJ,law,,working
amoreira@example.org,17/12/1987,undergraduate,SC,INTP,accounting,,researcher
caiomoreira@example.net,07/10/1999,graduate,TO,INFP,journalism|economics,,working on field of study
hadassacavalcanti@example.org,07/05/1997,graduate,MS,ENFP,medicine|music|education,ANPEC,working
aguerra@example.net,27/12/1989,undergraduate,RS,ESTP,pharmacy|tourism|cybersecurity,,working on field of study
das-nevesarthur-miguel@example.com,16/02/1991,highschool,SP,ESTJ,performing arts,,working
melootavio@example.net,24/01/1999,undergraduate,RJ,ENFP,advertising|mathematics|business administration,,working on field of study
isispinto@example.net,22/03/1986,graduate,RJ,INFJ,advertising,,working
ferreirastephany@example.net,06/04/1983,undergraduate,BA,ENFJ,anthropology|nutrition|mathematics,,researcher
das-nevesmaria-fernanda@example.org,11/08/1999,graduate,BA,ESTJ,physical education,,working
mendesyuri@example.com,18/06/1990,highschool,SC,ENTP,philosophy|education,,working
novaiscaio@example.org,18/11/1995,undergraduate,PB,ESTP,literature|dentistry|public policy,ANPEC,working
kmachado@example.com,21/01/1980,graduate,CE,ISTP,biology,,working
laviniamartins@example.com,26/05/1995,undergraduate,PE,ISTJ,education|environmental science,,working on field of study
ester92@example.net,05/06/1990,undergraduate,MT,ESFP,artificial intelligence|public policy|database management,,working
maria-flor89@example.org,16/01/1996,highschool,MG,ESTJ,public relations,,unemployed
calebecunha@example.net,19/03/1990,highschool,SP,ESTJ,advertising|physical education|journalism,,working on field of study
fonsecacaue@example.com,17/10/1992,undergraduate,RR,ESTJ,performing arts|linguistics|anthropology,,researcher
fonsecathomas@example.org,11/06/1986,undergraduate,MS,ESFJ,business administration|medicine,,researcher
lauraalbuquerque@example.org,06/09/1986,undergraduate,SP,ESTJ,journalism|mathematics|nursing,,working
cauemendonca@example.net,17/12/2007,incomplete,SP,ENFP,journalism,,unemployed
pedro94@example.org,29/10/2005,incomplete,SE,ISTJ,accounting,,unemployed
franciscoalbuquerque@example.org,07/09/2007,incomplete,AL,INTJ,machine learning|anthropology,,researcher
enzo-gabrielnascimento@example.com,17/08/1985,graduate,SP,ENTP,public relations,,working
diogoandrade@example.net,28/08/2006,incomplete,SP,ESTJ,performing arts,,working on field of study
britomanuela@example.net,27/07/1983,graduate,BA,ENTP,education,,working on field of study
cassianothales@example.net,12/01/2007,incomplete,PB,ESTJ,public relations|public policy,,unemployed
kaique52@example.net,13/09/1984,highschool,RS,INFP,tourism|architecture,,unemployed
joao-gabriel21@example.com,11/02/1994,graduate,RS,INTJ,public relations,,working
xaragao@example.com,18/01/1981,graduate,MG,ENTP,business administration|electrical engineering,,working on field of study
antoniofarias@example.org,16/12/2002,incomplete,RJ,INTJ,philosophy|data science|linguistics,,working on field of study
alveslunna@example.net,30/11/1991,highschool,MA,ENFP,education|sports science|music,,unemployed
garcianicole@example.net,26/12/2000,highschool,AC,ENFJ,education|accounting,,working
maria-lauraazevedo@example.com,22/10/1983,undergraduate,MG,ENTJ,public relations|nursing|performing arts,,unemployed
bianca18@example.com,12/11/2003,incomplete,AM,ESFJ,database management|environmental science|sports science,,working on field of study
maria-vitoria21@example.com,25/03/1989,incomplete,SP,INFP,public relations|pharmacy|advertising,,working
raelborges@example.com,27/04/1987,undergraduate,RS,ESFJ,business administration,,working on field of study
araujoana-laura@example.net,05/12/1990,highschool,RR,ESFP,journalism,,researcher
souzamanuella@example.com,05/06/1991,undergraduate,AC,INTP,chemistry,,working on field of study
maria-lizgarcia@example.net,06/01/1984,graduate,SP,ENTP,accounting|veterinary medicine|linguistics,,working
rezendecaua@example.org,09/09/2005,incomplete,ES,ESTJ,nursing|sociology,,unemployed
luigimachado@example.org,14/02/2003,incomplete,SP,ESFP,marketing|biology,,working
maria-sophia43@example.com,24/03/1996,highschool,SC,ISTP,marketing,,working
gleao@example.net,03/01/1992,graduate,CE,ESFP,cybersecurity|graphic design|physics,,working
teixeiralevi@example.com,04/03/2005,incomplete,SC,ISFJ,business administration|music|civil engineering,,working
helena84@example.net,16/08/2003,incomplete,SP,ENFJ,philosophy|music|psychology,,researcher
vicentecassiano@example.net,10/10/2000,incomplete,ES,ENTJ,software engineering|performing arts,,working
kaiquecampos@example.org,02/12/1990,undergraduate,SP,ESTJ,education|nutrition,,working on field of study
jmarques@example.org,03/12/1996,undergraduate,MG,ESTP,agriculture,,working
sazevedo@example.com,10/01/1984,highschool,PR,INTJ,political science|economics,,unemployed
bcosta@example.org,20/05/2003,incomplete,CE,ENFJ,advertising|psychology|chemistry,,working
luara78@example.org,09/05/2004,incomplete,PR,ENTJ,philosophy|nutrition,,working
valentim68@example.com,17/10/1985,undergraduate,GO,INFP,anthropology|environmental science,,working on field of study
anthony-gabriel91@example.org,10/09/1988,graduate,MG,ESTP,chemistry|architecture|visual arts,,researcher
siqueirasamuel@example.net,25/10/2003,incomplete,RS,ENTJ,cybersecurity,,working
salesmilena@example.com,14/10/1999,undergraduate,RS,INTP,anthropology|sports science|physical education,,working on field of study
gcampos@example.net,26/11/1983,highschool,PA,ISTJ,machine learning|nutrition|visual arts,,working on field of study
valentimda-cunha@example.com,19/04/1988,graduate,SP,ISFJ,performing arts|artificial intelligence|nutrition,,working on field of study
ayla22@example.org,28/03/1982,highschool,TO,ISFP,political science|history,,working
isaque96@example.org,10/07/1985,graduate,PE,ISFJ,law|sports science|international relations,,working
lunna82@example.com,20/02/2005,incomplete,SC,INFJ,cybersecurity|public relations,,working
stephanycunha@example.org,14/04/1998,highschool,AP,ISFP,anthropology|data science,,working
camposisaque@example.net,17/02/1985,incomplete,RS,ENFJ,business administration,,working
gmendonca@example.com,10/06/1993,graduate,RN,INTJ,accounting,,working
kaiquemendonca@example.com,26/08/1982,undergraduate,RJ,ENTP,education|law,,working
almeidavicente@example.org,25/11/1985,graduate,MA,ESFP,cloud computing,,researcher
luiz-felipe20@example.org,23/07/1994,highschool,PE,ESFJ,business administration|machine learning|political science,Vestibular FATEC,working
wda-conceicao@example.org,29/08/1988,undergraduate,RR,ENTJ,public policy,,working on field of study
eduarda89@example.com,14/10/2006,incomplete,SP,ESTJ,graphic design|political science|database management,,unemployed
fernandeslivia@example.net,26/04/1993,undergraduate,RJ,ISFP,software engineering|sports science|political science,,unemployed
martinsbento@example.org,23/08/2003,incomplete,SP,ESTJ,psychology|biology|physical education,,working
gael-henrique70@example.net,23/09/1992,highschool,RJ,ISTP,dentistry|architecture,,unemployed
anthony-gabrielrocha@example.net,21/02/1982,undergraduate,AL,INTP,nursing|medicine,,researcher
rodriguesdanilo@example.net,09/10/2005,incomplete,AP,ESTP,public relations,,unemployed
bryan94@example.com,28/06/2008,incomplete,PR,INTJ,nursing,,unemployed
gomesmatteo@example.com,01/08/1989,undergraduate,SP,ESTJ,hospitality|cybersecurity,,working on field of study
larissa95@example.net,28/08/2008,incomplete,PI,ENFJ,business administration|performing arts|web development,,unemployed
eteixeira@example.org,16/04/2002,incomplete,RJ,ENFJ,software engineering|dentistry,,researcher
csouza@example.net,24/02/1986,incomplete,BA,ISFP,economics|international relations|hospitality,,unemployed
